Date,Open,High,Low,Close,Volume
2024-01-02,150.25,152.80,149.90,152.30,2850000
2024-01-03,152.45,154.20,151.80,153.90,3120000
2024-01-04,153.75,155.60,152.40,154.80,2940000
2024-01-05,155.20,157.30,154.90,156.70,3560000
2024-01-08,156.90,158.40,155.20,157.20,2780000
2024-01-09,157.50,159.80,156.30,158.90,3240000
2024-01-10,158.20,160.50,157.80,159.40,2890000
2024-01-11,159.60,161.20,158.90,160.80,3180000
2024-01-12,160.30,162.10,159.50,161.90,2650000
2024-01-16,162.20,163.80,160.40,162.50,3420000
2024-01-17,162.80,164.50,161.90,163.70,2970000
2024-01-18,163.90,165.20,162.60,164.30,3150000
2024-01-19,164.50,166.80,163.20,165.90,3380000
2024-01-22,166.10,167.40,164.80,166.20,2540000
2024-01-23,166.40,168.90,165.30,167.80,3620000
2024-01-24,168.20,169.50,166.90,168.40,2890000
2024-01-25,168.60,170.20,167.40,169.30,3240000
2024-01-26,169.50,171.80,168.20,170.60,3580000
2024-01-29,170.80,172.40,169.90,171.20,2730000
2024-01-30,171.40,173.60,170.50,172.90,3460000
2024-01-31,173.20,174.80,172.10,174.50,3120000
2024-02-01,174.70,176.20,173.50,175.80,3340000
2024-02-02,176.00,177.40,174.80,176.90,2980000
2024-02-05,177.20,178.90,176.30,178.10,3580000
2024-02-06,178.30,179.80,177.20,179.40,3240000
2024-02-07,179.60,181.20,178.40,180.70,3680000
2024-02-08,180.90,182.50,179.80,181.60,3120000
2024-02-09,181.80,183.40,180.90,182.30,3450000
2024-02-12,182.50,184.20,181.40,183.80,2890000
2024-02-13,184.00,185.60,182.70,184.90,3670000
2024-02-14,185.20,186.80,184.10,186.40,3240000
2024-02-15,186.60,188.20,185.30,187.70,3580000
2024-02-16,188.00,189.40,186.80,188.90,2940000
2024-02-20,189.20,190.80,187.90,189.60,3420000
2024-02-21,189.80,191.50,188.60,190.30,3160000
2024-02-22,190.50,192.20,189.40,191.80,3490000
2024-02-23,192.00,193.60,190.80,192.40,3280000
2024-02-26,192.60,194.30,191.50,193.90,3620000
2024-02-27,194.20,195.80,192.90,195.20,3340000
2024-02-28,195.40,197.10,194.20,196.50,3580000
